Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
"2024-25","Fall","CHEM","3625","Physical Chemistry Laboratory","Orler","3","36.4","0","0","27.3","0","0","36.4","0","0","0","0","0","1","11","82930","  1"
"2024-25","Fall","HNFE","5984","SS: Crit Analysis of Sci Lit","Drake","3.76","81.8","9.1","0","0","0","0","0","9.1","0","0","0","0","0","11","92550","  1"
"2024-25","Fall","HD","4994","UR. Children's Emotion Lab","Smith","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","86188","  1"
"2024-25","Fall","HD","4994","UR: Children and Technology","Choi","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","86187","  1"
"2024-25","Fall","BMES","4994","Undergraduate Research","Kim","4","100","0","0","0","0","0","0","0","0","0","0","0","1","5","81976","  1"
"2024-25","Fall","BMVS","4994","Undergraduate Research","Allen","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","82095","  2"
"2024-25","Fall","CHEM","4994","Undergraduate Research","Lowell","3.97","85.7","14.3","0","0","0","0","0","0","0","0","0","0","0","7","82963","  1"
"2024-25","Fall","CHEM","4994","Undergraduate Research","Schulz","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","82976","  1"
"2024-25","Fall","ISE","4994","Undergraduate Research","Nguyen","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","86639","  1"
"2024-25","Fall","PHYS","1155","Astronomy Laboratory","Simonetti","4","100","0","0","0","0","0","0","0","0","0","0","0","1","12","88837","  1"
"2024-25","Fall","PSYC","4234","Develop Psyc Lab","Harrison","3.47","0","66.7","8.3","16.7","8.3","0","0","0","0","0","0","0","1","12","89460","  1"
"2024-25","Fall","APSC","3824","Equine Training and Marketing","Slone","3.62","33.3","33.3","16.7","16.7","0","0","0","0","0","0","0","0","0","6","80787","  2"
"2024-25","Fall","ARCH","4964","Field Study","Jones","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","81078","  2"
"2024-25","Fall","GRAD","5124","Grad Library Research Skills","Over","4","100","0","0","0","0","0","0","0","0","0","0","0","0","12","86115","  1"
"2024-25","Fall","COS","4974","Independent Study","Rowell","3.89","91.7","0","0","0","8.3","0","0","0","0","0","0","0","0","12","83242","  1"
"2024-25","Fall","MUS","2634","Individual Applied Horn","Berrios Rodriguez","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","88248","  1"
"2024-25","Fall","MUS","2684","Individual Applied Percussion","Irrera","3.84","72.7","18.2","0","9.1","0","0","0","0","0","0","0","0","0","11","88253","  1"
"2024-25","Fall","MUS","2684","Individual Applied Percussion","Clark","3.84","72.7","18.2","0","9.1","0","0","0","0","0","0","0","0","0","11","88253","  1"
"2024-25","Fall","MUS","2534","Individual Applied Violin","Irrera","4","100","0","0","0","0","0","0","0","0","0","0","0","0","10","88239","  1"
"2024-25","Fall","MUS","3314","Instrumental Ensemble Music","Hutchins","4","100","0","0","0","0","0","0","0","0","0","0","0","0","12","88283","  1"
"2024-25","Fall","MSE","2014","Materials Eng Transition","Burgoyne","3.92","91.7","0","0","8.3","0","0","0","0","0","0","0","0","0","12","88106","  1"
"2024-25","Fall","APSC","3224","Meat Science Laboratory","Gerrard","3.5","66.7","0","0","16.7","0","0","16.7","0","0","0","0","0","0","12","80780","  1"
"2024-25","Fall","CHEM","2556","Org Syn-Tech Lab","McAlpine","3.85","50","50","0","0","0","0","0","0","0","0","0","0","0","6","91877","  2"
"2024-25","Fall","CHEM","3625","Physical Chemistry Laboratory","Orler","3.58","66.7","0","0","25","0","0","8.3","0","0","0","0","0","0","12","82928","  1"
"2024-25","Fall","CHE","5024","Research Proposal Writing","Lu","3.5","50","0","0","50","0","0","0","0","0","0","0","0","0","12","91937","  1"
"2024-25","Fall","UNIV","2984","SS:Revealing the Hidden Curric","Dean","3.83","75","8.3","8.3","8.3","0","0","0","0","0","0","0","0","0","12","92045","  1"
"2024-25","Fall","TBMH","5404","Scientific Logic and Analysis","Howell","4","100","0","0","0","0","0","0","0","0","0","0","0","0","12","92191","  1"
"2024-25","Fall","CHEM","4994","Undergraduate Research","Saouma","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","82975","  1"
"2024-25","Fall","CMDA","4994","Undergraduate Research","Brown","3.5","66.7","0","0","16.7","0","0","16.7","0","0","0","0","0","0","6","83109","  1"
"2024-25","Fall","PSYC","4994","Undergraduate Research","Geller","4","100","0","0","0","0","0","0","0","0","0","0","0","1","5","91632","  1"
"2024-25","Summer I","ALS","1004","Ag, Arts and Society","Sumner","3.54","76.9","0","0","15.4","0","0","0","0","0","0","0","7.7","0","13","60146","  1"
"2024-25","Fall","PHYS","1155","Astronomy Laboratory","Simonetti","3.85","76.9","15.4","0","0","7.7","0","0","0","0","0","0","0","0","13","88835","  1"
"2024-25","Fall","ECE","3274","Elctrnc Circuits Lab II","Baumann","2.89","15.4","0","30.8","7.7","15.4","15.4","0","15.4","0","0","0","0","0","13","83723","  1"
"2024-25","Fall","ECE","3274","Elctrnc Circuits Lab II","Appler","2.89","15.4","0","30.8","7.7","15.4","15.4","0","15.4","0","0","0","0","0","13","83723","  1"
"2024-25","Summer I","CHEM","1045","General Chemistry Laboratory","Tohidi","2.57","53.8","7.7","0","0","0","0","0","7.7","0","0","0","30.8","0","13","60716","  1"
"2024-25","Fall","GR","4974","Independent Study","Phillips","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","86103","  1"
